"","X","i1","i2","i3","i4","i5"
"1","s1",4660.23805473048,0.170584454076776,1978.14643712016,3556.94432879483,2.75261278169343
"2","s2",5.85611559245081e-11,2.1094237467878e-15,2.47377673900928e-11,2.618261163434e-11,4.72955008490317e-14
"3","s3",118843.848493383,3.36348018911598,41216.2374050761,93025.7367698169,82.3863686772228
"4","s5",52502.1897854695,1.39026764569341,19460.8615785564,36022.9713967336,28.9420497311019
"5","s6",4485.82116507743,0.183994718918661,2383.52443276924,2772.90512654588,3.11145540935622
"6","s8",82879.5270848795,3.2496641142317,35822.9879780932,54127.9484926256,93.5155140786102
"7","s11",38815.0144256625,1.42708294862155,17162.2510887544,21691.6608190475,39.5289347715526
"8","s12",7.78387354571919e-11,1.75415237890775e-15,2.38491448811828e-11,3.33184591028157e-11,3.21964677141295e-14
"9","s14",146080.490360451,4.83477299382088,53768.4774188808,93684.1215172163,107.090221813133
"10","s15",6.05850924983997e-11,2.66453525910038e-15,3.29221094830245e-11,3.54232199129001e-11,4.37427871702312e-14
"11","s16",14458.3788799988,0.525672490015354,8011.0720511987,7421.52372752265,9.14405087673767
"12","s17",66790.9928905799,2.15662311351923,24442.4162388484,34073.3324664913,53.634279171
